,contractor_id,plan_name,primary_trade,ladder_use,scaffolds,confined_space,aerial_lift,cpr_training,excavation,fall_protection,investigation_prgm,fatality_2017,fatality_2018,restricted_day_17,restricted_day_18,lost_days_17,lost_days_18,recordable_17,recordable_18,work_hours_17,work_hours_18,emr_17,emr_18,flame_spark_activity,hoisting_rigging_eq,live_electrical_component,electrical_component,safety_health_program,safety_manager,emp_involvement_plan,emp_performance_evalution,osha_citation,fatality_2019,restricted_day_19,lost_days_19,recordable_19,dart_17,dart_18,dart_19,days_away_cases_17,days_away_cases_18,days_away_cases_19,fatal_19_mis,lost_days_19_mis,restricted_mis,recordable_mis,fatal_18_mis,fatal_17_mis
10,11,$500K or less,,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,0,0,0,0,0,0
11,12,> $1M,,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,na,na,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,0,0,0,0,0,0
12,13,> $1M,,yes,yes,yes,yes,na,na,yes,yes,0.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,48.306,40002.0,0.87,0.87,yes,yes,yes,yes,yes,no,yes,yes,no,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1,1,1,1,1,1
13,14,> $1M,Division 5 - Metals,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,0.0,0.0,116.0,22.0,3.0,4.0,170125.0,150718.0,0.94,0.84,yes,yes,na,yes,yes,yes,no,no,no,0.0,0.0,42.0,2.0,2.0,1.0,2.0,,,,1,1,1,1,1,1
14,15,> $1M,,yes,yes,yes,yes,na,yes,yes,yes,0.0,0.0,0.0,0.0,181.0,2.0,7.0,2.0,255310.0,285209.0,0.9,0.98,na,yes,yes,yes,yes,no,yes,yes,no,0.0,0.0,69.0,8.0,1.0,2.0,2.0,,,,1,1,1,1,1,1
15,16,> $1M,General Contractor,yes,yes,yes,yes,yes,na,yes,yes,0.0,0.0,8.0,8.0,8.0,109.0,4.0,5.0,454746.0,617468.0,0.62,0.81,yes,yes,yes,yes,yes,yes,yes,yes,no,0.0,17.0,40.0,3.0,4.0,5.0,3.0,,,,1,1,1,1,1,1
16,17,> $1M,Finish Carpentry,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,91550.0,99489.0,0.83,0.83,yes,yes,yes,yes,yes,no,yes,yes,yes,0.0,17.0,10.0,6.0,0.0,0.0,2.0,,,,1,1,1,1,1,1
17,18,> $1M,,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,0,0,0,0,0,0
18,19,> $1M,Division 7 - Thermal and Moisture Protection,yes,yes,yes,yes,yes,na,yes,yes,0.0,0.0,0.0,0.0,183.0,0.0,7.0,1.0,77405.0,86189.0,0.83,1.01,na,yes,na,yes,yes,yes,yes,yes,yes,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,1,1,1,1,1,1
19,20,> $1M,Soil Stabilization,yes,na,yes,na,yes,yes,yes,yes,0.0,0.0,0.0,0.0,65.0,50.0,6.0,2.0,151585.0,170327.0,0.91,1.29,yes,yes,na,na,yes,yes,yes,no,no,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,1,1,1,1,1,1
20,21,> $1M,,yes,yes,yes,no,na,yes,yes,yes,,,,,,,,,,,,,yes,yes,no,yes,yes,yes,yes,yes,no,,,,,,,,,,,0,0,0,0,0,0
21,22,> $1M,,yes,yes,yes,na,na,na,yes,yes,0.0,0.0,0.0,0.0,123.0,0.0,1.0,0.0,158377.0,138965.0,0.62,0.85,yes,yes,yes,yes,yes,yes,yes,yes,no,0.0,0.0,152.0,1.0,1.0,0.0,1.0,,,,1,1,1,1,1,1
22,23,> $1M,,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,0.0,0.0,180.0,0.0,2.0,0.0,81396.0,70019.0,0.79,0.95,yes,yes,yes,yes,yes,no,yes,yes,no,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,1,1,1,1,1,1
23,24,> $1M,,yes,yes,yes,na,yes,yes,yes,yes,0.0,0.0,218.0,218.0,197.0,160.0,13.0,12.0,1796894.0,1824125.0,0.59,0.59,yes,no,na,yes,yes,yes,yes,yes,no,0.0,436.0,554.0,14.0,8.0,8.0,11.0,,,,1,1,1,1,1,1
24,25,> $1M,,yes,yes,na,yes,na,na,yes,yes,0.0,0.0,0.0,0.0,48.0,0.0,6.0,0.0,126052.0,145893.0,0.8,0.83,yes,na,na,na,yes,no,no,no,no,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,1,1,1,1,1,1
25,26,> $1M,,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,71.0,71.0,14.0,717.0,6.0,12.0,1732979.0,1981696.0,0.69,0.8,yes,yes,yes,yes,yes,yes,yes,yes,no,0.0,110.0,363.0,23.0,3.0,7.0,17.0,,,,1,1,1,1,1,1
26,27,> $1M,,na,na,na,na,na,na,yes,yes,,,,,,,,,,,,,na,na,na,na,yes,no,yes,yes,no,,,,,,,,,,,0,0,0,0,0,0
27,28,> $500k to $1M,,yes,yes,yes,yes,yes,na,yes,yes,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,yes,no,no,,,,,,,,,,,0,0,0,0,0,0
28,29,> $1M,Concrete Cutting and Boring,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26295.0,26585.0,0.88,0.91,yes,yes,na,yes,yes,yes,yes,yes,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1
29,30,> $1M,,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,190.0,190.0,57.0,248.0,12.0,14.0,537258.0,631313.0,0.84,0.81,yes,yes,yes,yes,yes,yes,yes,yes,no,0.0,172.0,0.0,8.0,4.0,9.0,6.0,,,,1,1,1,1,1,1
30,31,> $1M,Building Demolition,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,0.0,0.0,20.0,180.0,2.0,1.0,158810.0,148524.0,0.73,0.75,yes,yes,yes,yes,yes,no,yes,yes,no,0.0,0.0,20.0,2.0,2.0,1.0,1.0,,,,1,1,1,1,1,1
31,32,> $1M,,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,1.0,1.0,381.0,7.0,12.0,8.0,2110237.0,2228544.0,0.85,0.85,yes,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,122.0,6.0,6.0,1.0,1.0,,,,1,1,1,1,1,1
32,33,> $1M,Painting and Coating,yes,yes,yes,yes,yes,na,yes,yes,0.0,0.0,0.0,0.0,53.0,0.0,2.0,2.0,109156.0,129359.0,0.92,0.84,yes,yes,na,yes,yes,no,yes,yes,yes,on,on,on,on,2.0,1.0,on,,,,1,1,1,1,1,1
33,34,> $1M,Division 22 - Plumbing,yes,yes,yes,yes,yes,na,yes,yes,0.0,0.0,0.0,0.0,529.0,183.0,8.0,9.0,438253.0,514789.0,1.19,1.12,yes,na,na,yes,yes,yes,yes,yes,no,0.0,0.0,253.0,10.0,4.0,4.0,3.0,,,,1,1,1,1,1,1
34,35,> $1M,General Contractor,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89274.0,93080.0,0.89,0.91,na,yes,yes,yes,yes,yes,yes,yes,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1
35,36,> $1M,,yes,yes,yes,yes,na,na,yes,yes,,,,,,,,,,,,,yes,na,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,0,0,0,0,0,0
36,37,> $500k to $1M,,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7324.0,7809.0,0.9,0.93,yes,na,na,yes,yes,no,yes,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1
37,38,> $1M,Temporary Elevators,yes,yes,na,yes,na,na,yes,yes,,,,,,,,,,,,,na,yes,na,na,yes,no,yes,yes,yes,,,,,,,,,,,0,0,0,0,0,0
38,39,> $1M,Division 5 - Metals,no,no,no,no,yes,no,yes,yes,0.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,108356.0,109497.0,1.11,1.11,yes,yes,na,no,yes,yes,yes,yes,no,0.0,0.0,112.0,6.0,2.0,0.0,4.0,,,,1,1,1,1,1,1
39,40,> $1M,General Contractor,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,2.0,2.0,243.0,231.0,10.0,16.0,1392390.25,1600678.0,0.68,0.71,yes,yes,yes,yes,yes,yes,yes,yes,yes,0.0,28.0,0.0,6.0,5.0,4.0,1.0,,,,1,1,1,1,1,1
40,41,> $1M,Steep Slope Roofing,yes,yes,na,yes,yes,na,yes,yes,0.0,0.0,4.0,4.0,739.0,617.0,23.0,25.0,632160.0,717805.0,0.77,0.7,yes,yes,na,yes,yes,yes,yes,yes,yes,0.0,3.0,478.0,24.0,16.0,12.0,11.0,,,,1,1,1,1,1,1
41,42,> $1M,Painting and Coating,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,0.0,0.0,43.0,22.0,1.0,3.0,348337.0,467944.0,0.87,0.78,na,yes,yes,yes,yes,no,yes,yes,no,0.0,0.0,182.0,2.0,0.0,3.0,2.0,,,,1,1,1,1,1,1
42,43,> $500k to $1M,,yes,yes,no,no,na,na,yes,yes,,,,,,,,,,,,,no,yes,na,yes,yes,no,yes,no,no,,,,,,,,,,,0,0,0,0,0,0
43,44,> $1M,,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,0.0,0.0,0.0,107.0,0.0,6.0,347729.0,519495.0,0.55,0.53,yes,yes,na,no,yes,yes,yes,yes,no,0.0,0.0,0.0,4.0,0.0,5.0,0.0,,,,1,1,1,1,1,1
44,45,> $1M,Division 3 - Concrete,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,213.0,213.0,165.0,546.0,18.0,12.0,441957.0,463408.0,1.13,0.9,yes,yes,na,yes,yes,yes,yes,yes,yes,0.0,36.0,753.0,11.0,16.0,11.0,11.0,,,,1,1,1,1,1,1
45,46,> $1M,,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,0.0,0.0,385.0,148.0,14.0,10.0,702163.0,479521.0,0.94,0.88,yes,yes,no,yes,yes,yes,yes,yes,no,,,,,5.0,3.0,,,,,0,0,0,0,1,1
46,47,> $1M,,yes,yes,yes,yes,na,no,yes,yes,0.0,0.0,74.0,74.0,72.0,203.0,9.0,21.0,240064.0,301550.0,0.62,0.85,yes,yes,yes,yes,yes,yes,yes,no,no,0.0,0.0,155.0,5.0,5.0,10.0,3.0,,,,1,1,1,1,1,1
47,48,> $1M,Steep Slope Roofing,yes,yes,no,yes,yes,na,yes,yes,0.0,0.0,95.0,95.0,9.0,193.0,5.0,4.0,396256.69,447387.0,0.85,0.88,yes,yes,na,yes,yes,yes,yes,yes,yes,0.0,23.0,357.0,5.0,4.0,4.0,5.0,,,,1,1,1,1,1,1
48,49,> $1M,,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,308.0,308.0,423.0,625.0,52.0,25.0,1061351.0,2213182.0,0.86,0.84,yes,yes,yes,yes,yes,yes,yes,yes,no,0.0,636.0,780.0,35.0,52.0,25.0,32.0,,,,1,1,1,1,1,1
49,50,> $1M,Division 12 - Furnishings,yes,yes,na,yes,yes,na,yes,yes,0.0,0.0,74.0,74.0,24.0,0.0,7.0,3.0,163858.0,158150.0,0.87,0.92,na,yes,na,yes,yes,no,yes,yes,no,0.0,0.0,3.0,1.0,3.0,1.0,1.0,,,,1,1,1,1,1,1
50,51,> $1M,Building Demolition,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,0.0,0.0,2.0,180.0,3.0,1.0,256839.0,142776.0,0.91,0.98,yes,yes,yes,yes,yes,yes,yes,yes,no,0.0,52.0,325.0,5.0,2.0,1.0,5.0,,,,1,1,1,1,1,1
51,52,> $1M,,yes,yes,yes,yes,na,na,yes,yes,0.0,0.0,0.0,0.0,254.0,292.0,4.0,5.0,257424.0,257808.0,0.62,0.85,yes,na,yes,yes,yes,yes,yes,yes,no,0.0,0.0,304.0,11.0,3.0,2.0,7.0,,,,1,1,1,1,1,1
52,53,> $1M,,yes,na,na,yes,yes,na,yes,yes,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1181842.0,1165155.0,0.6,0.64,na,na,na,na,yes,yes,yes,yes,no,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,1,1,1,1,1,1
53,54,> $1M,,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,551132.0,569569.0,0.6,0.5,yes,na,na,na,yes,yes,yes,yes,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1
54,55,> $1M,,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,434257.0,445842.0,0.72,0.71,yes,yes,yes,na,yes,yes,yes,yes,no,0.0,20.0,2.0,7.0,0.0,2.0,3.0,,,,1,1,1,1,1,1
55,56,> $1M,,yes,yes,yes,yes,yes,na,yes,yes,,,,,,,,,,,,,na,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,0,0,0,0,0,0
56,57,> $1M,Plaster and Gypsum Board,yes,yes,na,yes,yes,yes,yes,no,0.0,0.0,1.0,1.0,347.0,183.0,5.0,2.0,131719.0,122239.0,0.91,1.01,yes,na,na,na,yes,no,no,no,yes,0.0,0.0,1.0,1.0,5.0,2.0,1.0,,,,1,1,1,1,1,1
57,58,> $1M,,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,0.0,0.0,218.0,5.0,2.0,2.0,92721.0,103155.0,0.86,1.03,yes,na,yes,yes,yes,no,yes,no,no,0.0,0.0,20.0,2.0,2.0,2.0,2.0,,,,1,1,1,1,1,1
58,59,> $1M,Audio-Visual Equipment,yes,yes,na,yes,na,na,yes,yes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,332708.0,260000.0,0.79,0.78,yes,na,na,yes,yes,no,no,yes,no,0.0,0.0,6.0,5.0,0.0,0.0,1.0,,,,1,1,1,1,1,1
59,60,> $1M,,yes,yes,na,yes,yes,na,yes,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35266.0,47486.0,0.81,1.08,na,na,na,yes,yes,no,yes,yes,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1
60,61,> $1M,"Division 23 - Heating, Ventilating, and Air Conditioning (HVAC)",yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,223.0,223.0,391.0,235.0,7.0,10.0,775738.0,926963.0,0.76,0.78,yes,yes,no,yes,yes,yes,yes,yes,no,0.0,135.0,437.0,12.0,7.0,7.0,8.0,,,,1,1,1,1,1,1
61,62,> $1M,,yes,yes,yes,yes,na,no,yes,yes,0.0,0.0,0.0,0.0,6.0,505.0,11.0,11.0,389416.0,499733.0,0.82,0.87,na,no,yes,yes,yes,no,yes,yes,no,0.0,35.0,39.0,19.0,4.0,8.0,8.0,,,,1,1,1,1,1,1
62,63,> $1M,Flooring,na,na,na,na,na,na,yes,yes,0.0,0.0,0.0,0.0,0.0,149.0,0.0,5.0,101200.0,110784.0,0.94,0.81,na,na,na,na,yes,no,yes,yes,no,0.0,0.0,142.0,3.0,0.0,3.0,1.0,,,,1,1,1,1,1,1
63,64,> $1M,Division 13 - Special Construction,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,81.0,81.0,0.0,0.0,3.0,1.0,462683.0,443900.0,0.55,0.55,yes,yes,yes,yes,yes,yes,yes,yes,no,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,,1,1,1,1,1,1
64,65,> $1M,Division 4 - Masonry,yes,yes,na,yes,yes,na,yes,yes,0.0,0.0,0.0,0.0,0.0,10.0,3.0,2.0,76122.0,108526.0,0.95,0.85,na,yes,na,yes,yes,yes,yes,yes,no,0.0,0.0,66.0,4.0,0.0,1.0,2.0,,,,1,1,1,1,1,1
65,66,> $1M,,yes,yes,na,na,yes,na,yes,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5630.0,5630.0,0.91,0.91,na,yes,na,yes,no,no,no,no,no,,,,,0.0,0.0,,,,,0,0,0,0,1,1
66,67,> $1M,Steep Slope Roofing,yes,yes,na,yes,yes,na,yes,yes,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,56947.0,50281.0,0.84,0.79,yes,yes,na,yes,yes,yes,yes,yes,no,0.0,0.0,151.0,2.0,2.0,0.0,2.0,,,,1,1,1,1,1,1
67,68,> $1M,,yes,yes,no,yes,na,yes,yes,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32530.0,32883.0,0.89,0.87,na,na,na,yes,yes,no,yes,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1
68,69,> $1M,General Contractor,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,1031.0,1031.0,929.0,825.0,81.0,106.0,16002033.0,16954523.0,0.6,0.6,yes,na,yes,yes,yes,yes,yes,yes,no,0.0,1069.0,1195.0,75.0,56.0,70.0,54.0,,,,1,1,1,1,1,1
69,70,> $1M,General Contractor,yes,yes,yes,yes,yes,yes,yes,yes,0.0,1.0,6.0,6.0,10.0,215.0,7.0,6.0,5211810.0,5414400.0,0.61,0.62,yes,yes,yes,yes,yes,yes,yes,yes,yes,0.0,254.0,30.0,7.0,2.0,4.0,5.0,,,,1,1,1,1,1,1
70,71,> $500k to $1M,Building Demolition,yes,na,na,yes,na,no,yes,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4904.0,4340.0,0.94,0.96,yes,na,na,na,yes,yes,yes,yes,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1
71,72,> $1M,"Division 6 - Wood, Plastics, and Composites",yes,yes,na,yes,yes,na,yes,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,289111.0,302989.0,0.9,1.05,na,na,na,yes,yes,yes,yes,yes,yes,0.0,0.0,259.0,4.0,0.0,0.0,0.0,,,,1,1,1,1,1,1
72,73,$500K or less,,yes,yes,yes,no,no,yes,yes,no,,,,,,,,,,,,,no,na,na,yes,yes,no,yes,yes,yes,,,,,,,,,,,0,0,0,0,0,0
73,74,> $1M,,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,7.0,7.0,124.0,37.0,4.0,9.0,708826.0,477967.0,0.61,0.57,yes,yes,yes,yes,yes,yes,yes,yes,no,0.0,199.0,0.0,5.0,2.0,4.0,3.0,,,,1,1,1,1,1,1
74,75,> $1M,,yes,yes,na,na,na,na,yes,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39800.0,37746.0,0.89,0.89,yes,na,yes,yes,yes,no,no,no,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1,1,1,1,1,1
75,76,> $1M,Division 22 - Plumbing,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,0.0,0.0,103.0,199.0,2.0,1.0,214688.0,229971.0,0.9,0.8,yes,na,na,yes,yes,yes,yes,yes,no,0.0,0.0,127.0,2.0,2.0,1.0,2.0,,,,1,1,1,1,1,1
76,77,> $1M,,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,28.0,28.0,0.0,4.0,10.0,13.0,825906.0,754454.0,0.66,0.69,yes,yes,na,yes,yes,yes,yes,no,no,0.0,0.0,103.0,14.0,2.0,4.0,4.0,,,,1,1,1,1,1,1
77,78,> $1M,,yes,yes,yes,yes,na,na,yes,yes,,,,,,,,,,,,,yes,yes,na,yes,yes,yes,yes,yes,no,,,,,,,,,,,0,0,0,0,0,0
78,79,> $1M,Division 32 - Exterior Improvements,no,no,no,no,na,yes,yes,yes,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,50700.0,32825.0,0.85,0.83,no,yes,no,yes,yes,no,yes,yes,no,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1,1,1,1,1,1
79,80,> $1M,,yes,na,na,na,yes,na,yes,yes,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,72473.0,76691.0,1.43,1.77,yes,na,na,yes,yes,no,yes,yes,no,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,1,1,1,1,1,1
80,81,> $1M,,yes,yes,yes,yes,na,yes,yes,yes,,,,,,,,,,,,,na,na,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,0,0,0,0,0,0
81,82,$500K or less,,yes,yes,yes,no,yes,yes,yes,yes,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,yes,yes,no,,,,,,,,,,,0,0,0,0,0,0
82,83,> $1M,Planting,na,na,na,na,na,yes,yes,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24149.0,20740.0,0.87,0.87,na,na,na,na,yes,no,yes,no,no,on,on,on,on,0.0,0.0,on,,,,1,1,1,1,1,1
83,84,$500K or less,,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,yes,yes,na,na,yes,yes,yes,yes,no,,,,,,,,,,,0,0,0,0,0,0
84,85,> $1M,Metal Fabrications,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,0.0,0.0,2.0,100.0,8.0,7.0,203904.0,188245.0,0.71,0.83,yes,yes,na,yes,yes,yes,yes,yes,no,0.0,0.0,31.0,7.0,2.0,2.0,3.0,,,,1,1,1,1,1,1
85,86,> $1M,,yes,yes,yes,yes,yes,na,yes,yes,0.0,0.0,1.0,1.0,307.0,88.0,7.0,4.0,157618.0,165013.0,0.8,0.83,na,yes,na,na,yes,yes,yes,yes,no,0.0,0.0,0.0,2.0,3.0,3.0,0.0,,,,1,1,1,1,1,1
86,87,$500K or less,,yes,yes,na,na,yes,no,yes,yes,,,,,,,,,,,,,yes,na,na,no,yes,yes,yes,yes,no,,,,,,,,,,,0,0,0,0,0,0
87,88,> $1M,Division 26 - Electrical,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,0.0,0.0,128.0,40.0,2.0,3.0,428286.0,575400.0,1.02,0.87,na,yes,yes,yes,yes,yes,yes,yes,no,0.0,0.0,101.0,3.0,2.0,1.0,3.0,,,,1,1,1,1,1,1
88,89,> $1M,,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,yes,yes,yes,,,,,,,,,,,0,0,0,0,0,0
89,90,> $1M,Division 14 - Conveying Equipment,yes,yes,yes,no,na,na,yes,yes,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,35443.0,32898.0,0.99,0.88,no,yes,yes,yes,yes,yes,yes,no,no,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1,1,1,1,1,1
90,91,> $1M,Painting and Coating,yes,yes,na,yes,yes,na,yes,yes,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,43707.0,48340.0,1.12,0.88,na,na,na,yes,yes,no,yes,yes,no,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1,1,1,1,1,1
91,92,> $1M,Division 4 - Masonry,yes,yes,yes,yes,yes,yes,yes,yes,0.0,0.0,0.0,0.0,187.0,73.0,3.0,3.0,103014.0,141586.0,0.72,0.79,yes,yes,yes,yes,yes,no,yes,yes,no,0.0,0.0,97.0,4.0,3.0,3.0,4.0,,,,1,1,1,1,1,1
